timestamp,pair,short_pct,short_lots,short_pos,long_pct,long_lots,long_pos
2025-03-26 14:46:31.426264+00:00,GBPJPY,59.0,424.1,1743,41.0,294.86,1852
2025-03-26 18:53:58.820986+00:00,GBPJPY,62.0,447.95,1789,38.0,280.02,1672
2025-03-26 20:38:09.612998+00:00,GBPJPY,62.0,448.47,1832,38.0,278.37,1653
2025-03-27 03:09:53.701343+00:00,GBPJPY,60.0,415.09,1904,40.0,278.0,1625
2025-03-27 04:45:59.912389+00:00,GBPJPY,60.0,417.74,1951,40.0,280.61,1616
2025-03-27 08:47:18.693549+00:00,GBPJPY,58.0,399.81,1864,42.0,290.25,1581
2025-03-27 13:21:04.696039+00:00,GBPJPY,60.0,526.19,2110,40.0,350.9,2511
2025-03-27 16:51:46.593438+00:00,GBPJPY,62.0,661.94,2316,38.0,400.97,2741
2025-03-27 20:36:11.401964+00:00,GBPJPY,67.0,778.36,2447,33.0,381.3,2709
2025-03-28 03:11:44.085942+00:00,GBPJPY,53.0,480.3,2256,47.0,426.02,2940
2025-03-28 04:44:07.822932+00:00,GBPJPY,52.0,476.88,2224,48.0,431.5,2963
2025-03-28 08:46:57.607216+00:00,GBPJPY,50.0,441.22,1883,50.0,443.41,2875
2025-03-28 13:19:47.770858+00:00,GBPJPY,50.0,434.73,1747,50.0,432.26,2744
2025-03-28 16:48:31.674519+00:00,GBPJPY,50.0,414.62,1645,50.0,413.32,2521
2025-03-28 20:37:01.898195+00:00,GBPJPY,51.0,386.76,1656,49.0,371.37,2451
2025-03-29 03:08:07.857939+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-29 04:46:41.429475+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-29 08:41:37.814380+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-29 13:06:55.583833+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-29 16:45:48.190901+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-29 20:33:50.266429+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-30 03:17:52.218473+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-30 04:44:55.756615+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-30 08:40:39.242355+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-30 13:06:40.272667+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-30 16:45:12.779892+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-30 20:35:32.728211+00:00,GBPJPY,52.0,382.43,1639,48.0,356.77,2435
2025-03-31 03:17:21.860990+00:00,GBPJPY,53.0,385.54,1615,47.0,337.69,2100
2025-03-31 04:44:40.235192+00:00,GBPJPY,53.0,411.87,1633,47.0,359.65,2171
2025-03-31 08:51:01.206351+00:00,GBPJPY,53.0,427.57,1705,47.0,380.92,2163
2025-03-31 13:37:57.078155+00:00,GBPJPY,52.0,375.06,1699,48.0,348.0,1985
2025-03-31 16:52:21.534132+00:00,GBPJPY,49.0,362.18,1603,51.0,372.55,2138
2025-03-31 20:40:12.862520+00:00,GBPJPY,51.0,369.73,1577,49.0,359.4,2026
2025-04-01 03:34:41.689004+00:00,GBPJPY,53.0,372.33,1530,47.0,329.26,2008
2025-04-01 04:47:14.060711+00:00,GBPJPY,53.0,368.46,1523,47.0,330.69,2036
2025-04-01 08:52:06.178876+00:00,GBPJPY,55.0,378.33,1596,45.0,315.39,2001
2025-04-01 13:39:32.161653+00:00,GBPJPY,51.0,421.98,1793,49.0,404.82,2162
2025-04-01 16:51:51.268848+00:00,GBPJPY,58.0,425.48,1821,42.0,304.22,1812
2025-04-01 20:40:17.837348+00:00,GBPJPY,59.0,407.49,1805,41.0,285.15,1726
2025-04-02 03:12:25.417649+00:00,GBPJPY,61.0,437.15,1792,39.0,285.29,1730
2025-04-02 04:45:48.335947+00:00,GBPJPY,60.0,441.92,1815,40.0,299.17,1792
2025-04-02 08:51:26.416602+00:00,GBPJPY,54.0,395.93,1647,46.0,343.74,2114
2025-04-02 13:37:47.178300+00:00,GBPJPY,53.0,384.34,1667,47.0,336.5,1996
2025-04-02 16:54:01.130223+00:00,GBPJPY,63.0,544.45,2146,37.0,313.26,1832
2025-04-02 20:38:51.666695+00:00,GBPJPY,65.0,557.76,2183,35.0,299.87,1739
2025-04-03 03:11:16.218943+00:00,GBPJPY,60.0,420.68,1607,40.0,284.82,1638
2025-04-03 04:45:59.879676+00:00,GBPJPY,57.0,392.88,1521,43.0,295.56,1607
2025-04-03 08:49:23.096319+00:00,GBPJPY,60.0,412.9,1652,40.0,274.69,1561
2025-04-03 13:37:06.654905+00:00,GBPJPY,54.0,398.83,1649,46.0,341.53,1656
2025-04-03 16:50:46.150282+00:00,GBPJPY,58.0,398.83,1748,42.0,292.21,1779
2025-04-03 20:38:52.649548+00:00,GBPJPY,58.0,408.04,1790,42.0,299.84,1977
2025-04-04 03:10:54.914109+00:00,GBPJPY,60.0,424.76,1966,40.0,277.82,1717
2025-04-04 04:45:30.685273+00:00,GBPJPY,59.0,427.53,1958,41.0,292.15,1788
2025-04-04 08:48:10.036125+00:00,GBPJPY,59.0,426.71,1769,41.0,297.62,1796
2025-04-04 13:21:13.183097+00:00,GBPJPY,56.0,404.26,1841,44.0,320.28,2035
