timestamp,pair,short_pct,short_lots,short_pos,long_pct,long_lots,long_pos
2025-03-26 14:45:54.404993+00:00,EURUSD,61.0,17193.82,51432,39.0,10800.61,37382
2025-03-26 18:53:21.978953+00:00,EURUSD,58.0,16068.26,47506,42.0,11512.66,39123
2025-03-26 20:37:31.737558+00:00,EURUSD,56.0,15441.21,46238,44.0,12035.29,41949
2025-03-27 03:09:16.600586+00:00,EURUSD,60.0,17406.84,57820,40.0,11722.51,36732
2025-03-27 04:45:23.115758+00:00,EURUSD,63.0,19475.64,62724,37.0,11500.5,35539
2025-03-27 08:46:41.516981+00:00,EURUSD,59.0,16619.66,51537,41.0,11694.78,37539
2025-03-27 13:20:27.725883+00:00,EURUSD,59.0,16350.7,52823,41.0,11183.63,34967
2025-03-27 16:51:09.763133+00:00,EURUSD,61.0,16248.49,55192,39.0,10183.02,33204
2025-03-27 20:35:33.793849+00:00,EURUSD,61.0,15735.89,53855,39.0,9899.57,34257
2025-03-28 03:11:07.096132+00:00,EURUSD,62.0,15291.92,51950,38.0,9390.25,34194
2025-03-28 04:43:30.809532+00:00,EURUSD,62.0,15218.74,48890,38.0,9432.2,34963
2025-03-28 08:46:20.750241+00:00,EURUSD,61.0,15005.31,47254,39.0,9455.76,33838
2025-03-28 13:19:10.793432+00:00,EURUSD,60.0,14847.46,46630,40.0,9898.62,35497
2025-03-28 16:47:54.866708+00:00,EURUSD,68.0,18512.61,56465,32.0,8676.09,30279
2025-03-28 20:36:25.163296+00:00,EURUSD,64.0,15548.22,52371,36.0,8739.03,30698
2025-03-29 03:07:30.714201+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
2025-03-29 04:46:04.708893+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
2025-03-29 08:41:00.454877+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
2025-03-29 13:06:18.682721+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
2025-03-29 16:45:10.462621+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
2025-03-29 20:33:12.470564+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
2025-03-30 03:17:15.381772+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
2025-03-30 04:44:18.951750+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
2025-03-30 08:40:02.069091+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
2025-03-30 13:06:03.478755+00:00,EURUSD,64.0,15635.59,52805,36.0,8625.16,30202
